rank,opportunity_id,cluster,area_lat,area_lon,opportunity_score,competitors_within_2km,nearest_competitor_km,local_orders_2km,avg_daily_local_orders,stores_required,capacity_utilization_pct,avg_customer_distance_km,orders_within_1km_pct,orders_within_2km_pct,max_customer_distance_km,accessibility_status
1,OPP040,3,12.967925445544552,77.7540858019802,86.66666666666667,7,0.1225952607563426,596,85.14285714285714,1,7.095238095238095,1.1043783174725288,41.2751677852349,100.0,1.994702384105665,Needs Review
2,OPP041,3,12.96787960215054,77.74559272043011,80.00942951438002,8,0.2744887838051963,573,81.85714285714286,1,6.821428571428571,1.0935125170636124,43.63001745200698,100.0,1.9968841523412828,Needs Review
3,OPP042,5,12.931779097826086,77.68032298913043,79.41537010843942,8,0.2239933604419474,635,90.71428571428571,1,7.559523809523809,1.1477596279143811,39.37007874015748,100.0,1.995992851351383,Needs Review
4,OPP043,2,12.91392687096774,77.58842434408602,76.1999057048562,10,0.4340841543649953,767,109.57142857142857,1,9.130952380952381,1.1994442583430343,34.419817470664924,100.0,1.999225317246593,Needs Review
5,OPP044,2,12.922414172839504,77.5877685925926,74.7854785478548,7,0.447600786937538,665,95.0,1,7.916666666666666,1.2117712850052205,34.88721804511278,100.0,1.9997573390297287,Needs Review
